"curated_field","original_field","cl"
"age_at_death","AGE_AT_DEATH",2
"age_at_diagnosis","AGE_AT_DIAGNOSIS",2
"age_at_diagnosis","AGE_AT_DIAGNOSIS_GROUP",2
"age_at_diagnosis","AGE_AT_INITIAL_DIAGNOSIS",2
"age_at_diagnosis","INVASIVE_CARCINOMA_DX_AGE",1
"age_at_diagnosis","AGE_AT_DX",2
"age_at_diagnosis","AGE_AT_PD1",2
"age_at_diagnosis","AGE_D",2
"age_at_diagnosis","DIAGNOSIS AGE",2
"age_at_diagnosis","AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS",2
"age_at_diagnosis","PATIENT_AGE_AT_DIAGNOSIS",2
"age_at_metastasis","AGE_AT_MET",2
"age_at_metastasis","AGE_AT_EVIDENCE_OF_METS",2
"age_at_metastasis","AGE_AT_METS",2
"age_at_procurement","AGE",2
"age_at_procurement","AGE_IN_DAYS",2
"age_at_procurement","AGE_AT_PROCUREMENT",2
"age_at_procurement","AGE_RESECTED",2
"age_at_procurement","AGE_AT_SEQ_REPORT",2
"age_at_procurement","AGE_AT_SEQ_REPORTED_YEARS",2
"age_at_procurement","AGE_AT_SAMPLING",2
"age_at_procurement","AGE_AT_SCC",2
"age_at_procurement","AGE_AT_RESECTION",2
"age_at_procurement","AGE_GROUP",2
"age_at_procurement","AGE_TESTING_YEARS",2
"age_at_procurement","AGE_START_IO",2
"age_at_procurement","AGE_YRS",2
"age_at_procurement","AGE_AT_SAMPLE_COLLECTION",2
"age_at_procurement","AGE_AT_DERIVATION",2
"age_at_procurement","AGE_AT_SEQUENCING",2
"age_at_procurement","AGE_AT_TCGA_SPECIMEN",2
"age_at_procurement","AGE_AT_DOS_BX",2
"age_at_procurement","AGE_AT_SPECIMEN_ACQUISITION",2
"ancestry_details","RACE",1
"ancestry_details","ETHNICITY",1
"ancestry_details","PRD_HISPANIC",1
"ancestry_details","PRD_RACE",1
"ancestry_details","HISPANIC",1
"ancestry_details","RACE_CATEGORIZED",1
"ancestry_details","ETHNICITY_SELF_IDENTIFY",1
"ancestry_details","INFERRED_ETHNICITY",1
"ancestry_details","REPORTED_ETHNICITY",1
"ancestry_details","ANCESTRY_PRIMARY",1
"ancestry_details","RACE_CATEGORY",1
"ancestry","RACE",1
"ancestry","ETHNICITY",1
"ancestry","PRD_HISPANIC",1
"ancestry","PRD_RACE",1
"ancestry","HISPANIC",1
"ancestry","RACE_CATEGORIZED",1
